,Frame Type,Manufacturer,ID,Version,Device Type,TPL-Config,Access Number,Status,Encryption,"IV,0,0,0,,Date/Time","IV,0,0,0,Wh,E","IV,0,0,0,m^3,Vol","IV,0,0,0,,ErrorFlags(binary)(deviceType specific)","IV,1,0,0,,Date","IV,1,0,0,Wh,E","IV,2,0,0,Wh,E","IV,4,0,0,Wh,E","IV,6,0,0,Wh,E","IV,8,0,0,Wh,E","IV,10,0,0,Wh,E","IV,12,0,0,Wh,E","IV,14,0,0,Wh,E","IV,16,0,0,Wh,E","IV,18,0,0,Wh,E","IV,20,0,0,Wh,E","IV,22,0,0,Wh,E","IV,24,0,0,Wh,E","IV,26,0,0,Wh,E","IV,28,0,0,Wh,E","IV,30,0,0,Wh,E","IV,0,0,0,Model/Version","IV,0,0,0,,Parameter set ident"
0,SND_NR,EFE,33956285,00h,Heat,"Response,Uplink,TPL=S,M-Bus",110,00h,5,07.04.2025 09:03 invalid 0 summer time 0,2627000,"210,05",0b,31.12.2024,1046000,2567000,2200000,1646000,1046000,530000,112000,1000,0,0,0,0,0,0,0,0,261,4385
6,SND_NR,EFE,33956287,00h,Heat,"Response,Uplink,TPL=S,M-Bus",20,00h,5,07.04.2025 09:05 invalid 0 summer time 0,3569000,"357,954",0b,31.12.2024,1570000,3522000,3072000,2394000,1570000,853000,322000,42000,0,0,0,0,0,0,0,0,261,4385
36,SND_NR,EFE,33956282,00h,Heat,"Response,Uplink,TPL=S,M-Bus",140,00h,5,07.04.2025 09:04 invalid 0 summer time 0,2125000,"202,438",0b,31.12.2024,926000,2125000,1835000,1509000,926000,482000,165000,0,0,0,0,0,0,0,0,0,261,4385
40,SND_NR,EFE,33956286,00h,Heat,"Response,Uplink,TPL=S,M-Bus",213,00h,5,07.04.2025 09:03 invalid 0 summer time 0,1320000,"143,142",0b,31.12.2024,394000,1304000,1083000,717000,394000,144000,0,0,0,0,0,0,0,0,0,0,261,4385
46,SND_NR,EFE,33956283,00h,Heat,"Response,Uplink,TPL=S,M-Bus",254,00h,5,07.04.2025 09:04 invalid 0 summer time 0,1802000,"130,341",0b,31.12.2024,628000,1789000,1574000,1116000,628000,252000,0,0,0,0,0,0,0,0,0,0,261,4385
48,SND_NR,EFE,33956284,00h,Heat,"Response,Uplink,TPL=S,M-Bus",93,00h,5,07.04.2025 09:05 invalid 0 summer time 0,4526000,"884,814",0b,31.12.2024,1719000,4408000,3620000,2642000,1719000,784000,201000,37000,4000,0,0,0,0,0,0,0,261,4385
52,SND_NR,EFE,11858056,00h,Heat,"Response,Uplink,TPL=S,M-Bus",141,00h,5,07.04.2025 09:04 invalid 0 summer time 0,51572000,"7448,085",0b,31.12.2024,45270000,51146000,49045000,47104000,45270000,43423000,41888000,40398000,39149000,37993000,37207000,36417000,35545000,34522000,33308000,32137000,261,4385
56,SND_NR,EFE,11858055,00h,Heat,"Response,Uplink,TPL=S,M-Bus",52,00h,5,07.04.2025 09:01 invalid 0 summer time 0,29311000,"7806,066",0b,31.12.2024,20020000,29051000,26776000,23576000,20020000,16928000,14691000,13912000,13752000,13668000,13600000,13508000,13397000,12724000,10863000,8752000,261,4385
